"Timestamp","Nummer van gebruiker: (dit vullen we zelf in)","Welke cijfer geef je de eerste suggestie?","Kan je uitleggen waarom?","Welke cijfer geef je de tweede suggestie?","Kan je uitleggen waarom?","Welke cijfer geef je de derde suggestie?","Kan je uitleggen waarom?","Welke cijfer geef je de vierde suggestie?","Kan je uitleggen waarom?","Welke techniek vind je het best en waarom?"
"2023/12/14 12:38:29 pm CET","1","5: Heel goed","Ik gaf aan me best overwhelmed te voelen door hoe hectisch m'n leven op het moment is, en dit nummer gaat over hoe snel de tijd voorbij gaat, en dat voel ik wel","4: Goed","Hij lijkt wel diep. ik interpreteer de tekst toch wel persoonlijk op een manier.","2: Slecht","Het gaat over een verliefdheid, en ik heb n iet aangegeven verliefd te zijn of veel over een bepaald iemand na te denken.","1: Heel slecht","Dit gaat over diepe verliefdheid en daar gaat mijn prompt totaal niet over.","De eerste!"
"2023/12/14 12:57:48 pm CET","3","4: Goed","Het geeft me energie","3: Niet goed/ Niet slecht","Omdat het net niet energiek genoeg is op dit moment","3: Niet goed/ Niet Slecht","Ik vind dat hij niet echt bij de topics past","1: Heel slecht","Ik haal niks uit dit nummer","Embeddings"
"2023/12/14 12:57:58 pm CET","2","3: Niet goed/ Niet slecht","Mijn persoonlijke muziek voorkeur kwam niet naar voren in de suggestie","3: Niet goed/ Niet slecht","Mijn persoonlijke muziek voorkeur kwam niet naar voren in de suggestie","4: Goed","Ritme/tempo kwam beter overeen met muziek die ik zou luisteren","4: Goed","meest het genre wat ik zelf zou gaan luisteren","based on everything. Dit nummer kwam het meeste in de buurt van wat ik nice muziek vind om te luisteren"
"2023/12/14 2:40:45 pm CET","F1","3: Niet goed/ Niet slecht","Ik ken het nummer niet goed dus weet niet zeker of het past","5: Heel goed","Nummer past heel goed bij mijn huidige mood","4: Goed","Past oke maar is een beetje te gemoedig","4: Goed","Past ook oke maar ook weer te gemoedig","2, nummer past het best"
"2023/12/14 3:03:20 pm CET","F2","4: Goed","Ik heb zin in kerst en kijk uit naar die tijd.","3: Niet goed/ Niet slecht","Ik vond de tekst opzich wel passend, wel iets depressiefer dan dat ik mij voel alleen soms klopt het wel aardig.","3: Niet goed/ Niet Slecht","Ik vond de tekst opzich wel passend, wel iets depressiefer dan dat ik mij voel alleen soms klopt het wel aardig.","4: Goed","Opzich is dit best wel een blij nummer en opgewekt en dat past opzich wel bij hoe ik mij momenteel voel.","Nummer 1, omdat dit nummer een kerst nummer is en ik nu vooral in de kerst sfeer ben en uitkijk naar die tijd met vrienden en familie en de gezelligheid."
"2023/12/14 5:18:12 pm CET","F3","4: Goed","I am indeed getting prepared for times of struggle and I need to get stronger.","2: Slecht","It's not really my mood/ sentiment as of right now.","5: Zeer goed","it is very closely related to studying which is the biggest topic in my life right now","4: Goed","Not so specific but a general idea, worrying about future","The 3rd one because it is about studying"
"2023/12/15 8:13:35 pm CET","B1","5: Heel goed","Het geeft de blije kerstvibe, en het past bij mijn herinneringen aan het skiien met mijn vriendin.","1: Heel slecht","Omdat het compleet niet is hoe ik me voel - de zanger stelt heel veel vragen en ik weet het allemaal al","4: Goed","Omdat het skiien waar ik aan dacht vandaag in een paradijs was","","Ik heb het gevoel wat ze beschrijft totaal niet.","Embedding. Die voelde ik nu echt"
"2023/12/15 8:32:54 pm CET","B2","4: Goed","Sommige dingen uit de tekst sluiten wel aan op mijn antwoord (zoals de dualiteit van mijn gevoel) en andere dingen kloppen minder.","2: Slecht","Ik vond de titel wel mooi, maar de tekst spreekt me echt niet aan / herkende ik niet zo veel in (het ging over de hemel en de hel en ashes en flames…)","1: Heel slecht","“What’s up I got a big cock”… Ik ben een vrouw. En ik kom nooit bij een thrift shop. Ik zie geen één zin waarvan ik denk ‘die past nog een beeetje’","3: Niet goed / Niet slecht","Het past wel bij m’n gevoel","De eerste, embedding. Ik denk dat die het beste past bij hoe ik me nu voel"
"2023/12/15 8:47:05 pm CET","B3","4: Goed","Ik voel dit nummer echt heel goed, ik heb de tekst zelfs nog nooit zo goed begrepen als dat ik nu doe. Maar ik heb dit gevoel alleen niet geuit in mijn prompts.","5: Heel goed","Dit nummer doet me heel erg denken aan hoe alleen ik me soms voel, en hoe verdrietig ik vandaag was. Hele goeie match!","5: Zeer goed","Het is een empowering liedje, die perfect inspeelt op m’n gevoel. Dat alle tegenslagen die ik vandaag voelde “can only make me stronger”, dat sluit perfect aan.","2: Slecht","Ik zit niet echt in de kerststemming of de heartbreak stemming.","De derde, die gaf een empowering nummer die echt perfect met mijn gevoel omgaat"
"2023/12/15 9:42:37 pm CET","B4","1: Heel slecht","Ik ben veelv vrolijker en dit nummer gaat over de liefde en ik voel het niet op die manier op dit moment","1: Heel slecht","Ik ben in een happy mood, en dit nummer gaat over de ‘hel’","2: Slecht","Het sluit niet goed aan.","1: Heel slecht","Het sluit niet aan bij mijn gevoel. Ik voel me blij!","Eigenlijk geen enkele. Ik beschreef dat ik heel blij was en dit zijn allemaal hele heftige liedjes."
"2023/12/15 10:17:07 pm CET","g1","2: Slecht","Het liedje was smells like teen spirit door nirvana en dit vond ik niet echt relaxend","4: Goed","Het matcht goed met hoe ik me nu voel en is redelijk rustig","4: Goed","Leuk rustig liedje, heeft wel een enigszins deprimerende vibe","","Te upbeat en door gebrek aan een beter woord, niet echt mijn vibe","de tweede want die vind ik goed passen met mijn leven momenteel"
"2023/12/15 11:48:15 pm CET","g2","1: Heel slecht","Dit heeft naar mijn idee nauwelijks iets te maken met mijn antwoorden.","3: Niet goed/ Niet slecht","Een aantal dingen worden correct benoemd. Kleur is anders dan ik had benoemd. Credit is denk ik de link met wat ik vandaag gedaan heb.","3: Niet goed/ Niet Slecht","Deze suggestie noemt weer een aantal overeenkomsten met de antwoorden die ik gegeven heb. De lyrics van Umbrella noemt de zon die schijnt, ik had als kleur geel gekozen. En benoemd dat alles oké is, ik heb als antwoord goed gegeven. Wel wordt weer pink als kleur genoemd, dit heb ik niet als antwoord gegeven.","3: Niet goed / Niet slecht","zelfde als suggestie 3","3, meest uitgebreid en denk dat deze het beste overeenkomt."
"2023/12/16 10:58:26 am CET","B5","3: Niet goed/ Niet slecht","Ik herken soms een zin die ik ook wel eens heb gedacht of meegemaakt, maar er staan ook andere dingen in en die kloppen dan niet.","4: Goed","Het liedje gaat wel diep en het heeft een dubbele betekenis en ik kan me daar wel in verplaatsen","3: Niet goed/ Niet Slecht","Het nummer gaat over een ruzie, en ik heb dat wel meegemaakt maar het ziet niet zo hoog als dat het in dit liedje lijkt","5: Heel goed","Ik heb echt precies hetzelfde gesprek met m'n vader gehad en dat is wat me nog steeds dwars zit","De laatste; herkende ik zeker het meest!
"
"2023/12/16 1:43:15 pm CET","B6","4: Goed","Ik ben naar buiten geweest en heb omgegaan met een baby (en dat sluit perfect aan op 'baby it's cold outside'","1: Heel slecht","Het past absoluut niet bij mijn gemoedstoestand of mijn dag","3: Niet goed/ Niet Slecht","De feeling van het liedje vind ik oke (het is lekker upbeat) maar qua tekst sluit het niet aan","1: Heel slecht","Het past niet. En ook niet qua sfeer.","De eerste - hij sluit aan op mijn gevoel en onderwerpen."
"2023/12/16 2:43:29 pm CET","B7","4: Goed","Oprecht bijna spot-on! Als ik niet brak zou zijn zou ik 5 geven. Maar viva la vida is misschien net iets de enthousiast/optimistisch voor een moeie/wazige mood.","2: Slecht","Hij is vrij depri. Hij sluit niet echt aan. ","2: Slecht","Qua inhoud sluit het totaal niet aan, maar verder is de melodie etc wel positief en energiek","1: Heel slecht","Ja dit gaat dus over een meid die verliefd is op een verkeerde gast, sluit echt totaal niet aan.","De eerste! Die sluit qua vibe en tekst echt heel goe aan"
"2023/12/16 3:25:18 pm CET","J1","4: Goed","De sfeer van het liedje past wel ongeveer bij mijn current mood.","4: Goed","Deze gaf hetzelfde als de eerste suggestie, dus past alsnog.","1: Heel slecht","Het benadert niet mijn gevoel. Het is te up-beat voor mijn mood op dit moment.","4: Goed","Deze suggestie was hetzelfde als techniek 1 en 2.","De eerste twee pastten erg goed!"
"2023/12/16 4:15:19 pm CET","K1","4: Goed","Mentions some themes I've been thinking about lately","4: Goed","Uplifting song, always liked it, looking back on the past which I'm also doing","1: Heel slecht","I don't feel like I'm being a beast right now that destroys everything, the song is kind of about that tho","3: Niet goed / Niet slecht","Some themes of the song are relatable, but the song doesn't bring it home","De eerste"
"2023/12/16 4:26:01 pm CET","C1","3: Niet goed/ Niet slecht","his song's themes of fleeting moments and change might resonate with feelings of transition and nostalgia after a breakup. However, it's more about the swift passage of youth and less focused on heartbreak or personal loss.","5: Heel goed","Adele's ""Hello"" perfectly encapsulates the feelings of longing, regret, and attempting to reconcile with the past, which are common in the aftermath of a breakup.","2: Slecht","While ""Paradise"" offers a sense of escapism and dreaming of a better place, which could be relevant post-breakup, its overall theme is more about personal dreams and disillusionment than about the complexities of relationships and breakups.","4: Goed","his song delves into the intense and sometimes destructive dynamics of a troubled relationship. Its emotional depth and exploration of both love and pain could resonate strongly with someone going through a breakup, although it focuses more on tumultuous relationships.","The second, Adele's ""Hello"" deeply and authentically captures the essence of looking back on a past relationship with a mix of regret, nostalgia, and a desire for closure. "
"2023/12/16 4:35:49 pm CET","C2","5: Heel goed","This song is a perfect fit for the festive mood and the excitement of Christmas, matching the joy and anticipation of the upcoming holiday season and family reunion.","1: Heel slecht","While a powerful song, its themes of betrayal and heartbreak don't align with the current feelings of happiness and looking forward to a joyful family vacation.","1: Heel slecht","This song, focusing on the complexities and struggles of love, doesn't quite resonate with the current mood of happiness, family reunion, and holiday cheer.","2: Slecht","Although a beautiful and timeless song, its somber and reflective tone on the nature of life and love doesn't match the current atmosphere of joy and excitement about the upcoming family vacation and Christmas celebration.","The first, it's completely in the Christmas spheres."
"2023/12/16 4:41:32 pm CET","c3","3: Niet goed/ Niet slecht","This song, with its introspective lyrics about self-reflection and personal growth, somewhat aligns with the mixed feelings of achievement and ongoing challenges.","4: Goed"," Its themes of highs and lows, success and downfall, resonate well with the mixed emotions of triumph in passing the test and the stress of a busy life.","4: Goed","This song's message about getting stronger and overcoming challenges is quite fitting for the situation, embodying the resilience needed amidst stress and busy schedules.","3: Niet goed / Niet slecht","Same as in first recommendation: This song, with its introspective lyrics about self-reflection and personal growth, somewhat aligns with the mixed feelings of achievement and ongoing challenges.","The second, it captures my mixed feelings best"
"2023/12/16 4:44:18 pm CET","","2: Slecht","This song, focusing on self-reflection and introspection, doesn't particularly resonate with a neutral, everyday mood, as it's more introspective and profound than the current feelings of just feeling 'normal'.","2: Slecht","The themes of highs, lows, and reflections on past glory don't align closely with a mood of neutrality and routine daily life.","2: Slecht","Same as before: This song, focusing on self-reflection and introspection, doesn't particularly resonate with a neutral, everyday mood, as it's more introspective and profound than the current feelings of just feeling 'normal'.","2: Slecht","Same as before: This song, focusing on self-reflection and introspection, doesn't particularly resonate with a neutral, everyday mood, as it's more introspective and profound than the current feelings of just feeling 'normal'.","The second, the tunes are just more overall enjoyable"
"2023/12/16 4:51:15 pm CET","F5","2: Slecht","ik vind de eerste suggestie niet logisch. het is een kerst lied en ik snap niet hoe die daar bij komt. het deuntje is wel vrolijk en dat vind ik wel passen.","5: Heel goed","ik vind dat het lied goed is uitgekozen omdat in het lied een opbouw zit naar een goed einde en dat komt goed samen met hoe ik de vragen heb beantwoord.","2: Slecht","ik vind het een goed nummer maar het past niet bij mij momenteel. ik zou het zelf niet opzetten momenteel.","1: Heel slecht","ik vind het nummer heel traag en dramatisch. dat past totaal niet bij me.","de 2e "
"2023/12/16 5:21:17 pm CET","B8","2: Slecht","Het liedje gaat over harder werken maar daar heb ik eigenlijk geen energie voor","3: Niet goed/ Niet slecht","Ik vat het nummer op al dat je iemand terugbelt waar je het leuk mee hebt gehad.","4: Goed","Hoe de tekst is opgesteld, het mooie geheimzinnige erin: het is heel vrij en open maar de ondertoon past erbij.","3: Niet goed / Niet slecht","Ik vat het nummer op al dat je iemand terugbelt waar je het leuk mee hebt gehad.","De derde, daar kan ik me nu het meeste in vinden"
"2023/12/16 5:41:47 pm CET","B9","3: Niet goed/ Niet slecht","Er zitten een paar aspecten in die ik genoemd heb, maar het geheel sluit minder aan.","4: Goed","Wel een poëtisch karakter. Je kunt er heel veel verschillende soorten gevoel in vinden; het is heel open. Het roept een bepaalde stemming op, waar ik me wel in kan vinden. ","3: Niet goed/ Niet Slecht","Op steekwoorden klopt het wel weer (e.g. 'baby', maar deze tekst is wat meer uitgesproken en als geheel is hij niet volledig van toepassing. Maar het heeft wel iets van geschiedenis, herinneringen ('one more time'), etc., maar ik denk dat het iets anders bedoeld werd","4: Goed","Ik vind deze wel mooi. Het gaat over looking at yourself, en looking at the past, en die reflectie tussen generaties zie ik wel echt terug.","De laatste, die sluit het meest aan, die voelt echt alsof hij echt past."
"2023/12/16 5:53:52 pm CET","B10","4: Goed","De zanger van dit liedje wil ook alleen maar succes hebben. Maar hij is van de streets en ik niet.","2: Slecht","Hij vraagt allemaal dingen en dat maakt m'n hoofd moe","1: Heel slecht","Dit nummer heeft niks met mijn leven te maken","2: Slecht","Ik ben én geen vrouw, en ik ben de bad boy, niet de fool","De eerste. dat streven naar succes vind ik inspirerend"